# PDFs do proton: xf(x,Q^2), HERAPDF2.0 LO (parametrizacao de gluon alternativa)
# H1 and ZEUS Collaborations, Eur. Phys. J. C 75 (2015) 580, arXiv:1506.06042
# fonte: https://www.desy.de/h1zeus/herapdf20/grids_151021_lhapdf/HERAPDF20_LO_EIG.tgz
# extraido do membro central (0000) por interpolacao bilinear em (ln x, ln Q)
# Q2[GeV^2]  x  xu_v  xd_v  xubar  xdbar  xs  xc  xb  xg
10.0 6.798155e-04 4.498198e-02 1.519853e-02 6.562255e-01 6.532762e-01 5.158893e-01 2.275584e-01 0.000000e+00 1.675826e+01
10.0 7.161651e-04 4.630859e-02 1.576491e-02 6.481701e-01 6.451039e-01 5.091629e-01 2.238726e-01 0.000000e+00 1.645913e+01
10.0 7.544584e-04 4.767225e-02 1.635167e-02 6.401968e-01 6.370091e-01 5.025024e-01 2.202286e-01 0.000000e+00 1.616396e+01
10.0 7.947992e-04 4.910959e-02 1.697893e-02 6.323865e-01 6.290685e-01 4.959730e-01 2.166674e-01 0.000000e+00 1.587665e+01
10.0 8.372970e-04 5.054692e-02 1.760619e-02 6.245762e-01 6.211279e-01 4.894435e-01 2.131062e-01 0.000000e+00 1.558934e+01
10.0 8.820671e-04 5.204529e-02 1.826771e-02 6.168869e-01 6.133007e-01 4.830107e-01 2.096064e-01 0.000000e+00 1.530786e+01
10.0 9.292311e-04 5.360206e-02 1.896203e-02 6.093134e-01 6.055820e-01 4.766703e-01 2.061654e-01 0.000000e+00 1.503198e+01
10.0 9.789170e-04 5.515883e-02 1.965634e-02 6.017398e-01 5.978634e-01 4.703298e-01 2.027243e-01 0.000000e+00 1.475609e+01
10.0 1.031259e-03 5.680396e-02 2.040149e-02 5.943235e-01 5.902907e-01 4.641138e-01 1.993629e-01 0.000000e+00 1.448778e+01
10.0 1.086401e-03 5.848927e-02 2.116974e-02 5.869786e-01 5.827843e-01 4.579544e-01 1.960377e-01 0.000000e+00 1.422292e+01
10.0 1.144490e-03 6.017457e-02 2.193800e-02 5.796337e-01 5.752779e-01 4.517950e-01 1.927124e-01 0.000000e+00 1.395805e+01
10.0 1.205686e-03 6.197920e-02 2.277658e-02 5.724796e-01 5.679465e-01 4.457851e-01 1.894835e-01 0.000000e+00 1.370239e+01
10.0 1.270154e-03 6.380264e-02 2.362625e-02 5.653555e-01 5.606428e-01 4.397987e-01 1.862698e-01 0.000000e+00 1.344817e+01
10.0 1.338069e-03 6.563204e-02 2.447951e-02 5.582400e-01 5.533468e-01 4.338190e-01 1.830604e-01 0.000000e+00 1.319437e+01
10.0 1.409615e-03 6.760393e-02 2.541871e-02 5.513287e-01 5.462358e-01 4.279977e-01 1.799540e-01 0.000000e+00 1.295043e+01
10.0 1.484987e-03 6.957583e-02 2.635791e-02 5.444174e-01 5.391248e-01 4.221764e-01 1.768476e-01 0.000000e+00 1.270649e+01
10.0 1.564389e-03 7.158216e-02 2.731840e-02 5.375505e-01 5.320535e-01 4.163891e-01 1.737635e-01 0.000000e+00 1.246470e+01
10.0 1.648037e-03 7.371309e-02 2.835596e-02 5.308443e-01 5.251254e-01 4.107249e-01 1.707603e-01 0.000000e+00 1.223067e+01
10.0 1.736157e-03 7.584401e-02 2.939351e-02 5.241381e-01 5.181974e-01 4.050607e-01 1.677571e-01 0.000000e+00 1.199665e+01
10.0 1.828989e-03 7.804184e-02 3.047349e-02 5.175094e-01 5.113373e-01 3.994551e-01 1.647929e-01 0.000000e+00 1.176639e+01
10.0 1.926785e-03 8.034302e-02 3.161904e-02 5.110006e-01 5.045823e-01 3.939399e-01 1.618888e-01 0.000000e+00 1.154193e+01
10.0 2.029810e-03 8.264421e-02 3.276458e-02 5.044918e-01 4.978273e-01 3.884247e-01 1.589847e-01 0.000000e+00 1.131747e+01
10.0 2.138344e-03 8.504898e-02 3.397748e-02 4.980909e-01 4.911650e-01 3.829898e-01 1.561348e-01 0.000000e+00 1.109827e+01
10.0 2.252681e-03 8.753210e-02 3.524134e-02 4.917718e-01 4.845730e-01 3.776156e-01 1.533259e-01 0.000000e+00 1.088304e+01
10.0 2.373131e-03 9.001523e-02 3.650519e-02 4.854527e-01 4.779809e-01 3.722414e-01 1.505170e-01 0.000000e+00 1.066781e+01
10.0 2.500022e-03 9.264295e-02 3.786551e-02 4.792693e-01 4.715028e-01 3.669661e-01 1.477762e-01 0.000000e+00 1.045921e+01
10.0 2.633698e-03 9.531998e-02 3.925872e-02 4.731322e-01 4.650635e-01 3.617246e-01 1.450586e-01 0.000000e+00 1.025288e+01
10.0 2.774521e-03 9.799700e-02 4.065192e-02 4.669952e-01 4.586242e-01 3.564832e-01 1.423409e-01 0.000000e+00 1.004654e+01
10.0 2.922875e-03 1.008642e-01 4.217546e-02 4.610190e-01 4.523163e-01 3.513566e-01 1.397039e-01 0.000000e+00 9.848115e+00
10.0 3.079160e-03 1.037474e-01 4.371001e-02 4.550564e-01 4.460194e-01 3.462397e-01 1.370737e-01 0.000000e+00 9.650353e+00
10.0 3.243803e-03 1.066521e-01 4.525972e-02 4.491103e-01 4.397356e-01 3.411342e-01 1.344518e-01 0.000000e+00 9.453405e+00
10.0 3.417248e-03 1.097540e-01 4.694826e-02 4.433147e-01 4.335707e-01 3.361336e-01 1.319053e-01 0.000000e+00 9.263901e+00
10.0 3.599968e-03 1.128558e-01 4.863680e-02 4.375191e-01 4.274058e-01 3.311330e-01 1.293589e-01 0.000000e+00 9.074396e+00
10.0 3.792458e-03 1.160212e-01 5.037133e-02 4.317672e-01 4.212743e-01 3.261620e-01 1.268345e-01 0.000000e+00 8.887076e+00
10.0 3.995240e-03 1.193541e-01 5.222719e-02 4.261308e-01 4.152308e-01 3.212693e-01 1.243682e-01 0.000000e+00 8.705520e+00
